scenario	requested_bytes	observed_latency_ms	channel	corr	total_ms	queue_ms	translate_ms	exec_ms	format_ms	finalize_ms	egress_ms	egress_enqueue_ms	egress_queue_ms	egress_prepare_ms	egress_write_ms	frame_bytes	writer_queue_depth	writer_active	writer_queue_full	reserve_timeouts
size-controlled	4096	1884.376	2	800049	1588.965	2.031	0.001	0.001	0.002	0.000	1586.807	3.897	1582.843	0.039	0.028	12632	56	true	false	0
size-controlled	4096	1907.681	3	800050	1589.134	2.037	0.001	0.001	0.002	0.000	1586.968	3.895	1583.042	0.003	0.027	12632	57	true	false	0
size-controlled	4096	1151.322	4	800051	781.018	0.037	0.002	0.001	0.002	0.000	778.284	0.189	778.082	0.004	0.009	12632	24	true	false	0
size-controlled	262144	1175.391	5	800052	967.054	0.045	0.001	0.011	0.114	0.000	964.187	0.359	777.866	0.123	185.839	786782	25	true	false	0
size-controlled	4096	1198.523	6	800053	967.186	0.178	0.001	0.001	0.002	0.000	964.308	0.356	963.927	0.003	0.021	12632	26	true	false	0
size-controlled	4096	1221.821	7	800054	967.275	0.186	0.001	0.001	0.003	0.000	964.388	0.352	964.013	0.004	0.019	12632	27	true	false	0
size-controlled	4096	1245.004	8	800055	967.359	0.195	0.001	0.001	0.003	0.000	964.463	0.349	964.092	0.004	0.019	12632	28	true	false	0
size-controlled	262144	1268.689	1	800056	967.943	0.203	0.001	0.013	0.111	0.000	964.918	0.554	963.931	0.122	0.311	786782	29	true	false	0
size-controlled	4096	1291.013	2	800057	968.019	0.332	0.001	0.001	0.002	0.000	964.986	0.550	964.422	0.004	0.010	12632	30	true	false	0
size-controlled	4096	1314.409	3	800058	968.088	0.338	0.001	0.001	0.002	0.000	965.048	0.547	964.487	0.004	0.009	12632	31	true	false	0
size-controlled	4096	1336.208	4	800059	968.158	0.348	0.001	0.001	0.003	0.000	965.107	0.542	964.553	0.004	0.009	12632	32	true	false	0
size-controlled	262144	1359.640	5	800060	1175.440	0.356	0.001	0.011	0.115	0.000	1172.261	0.729	964.327	0.121	207.084	786782	33	true	false	0
size-controlled	4096	1382.826	6	800061	1175.566	0.492	0.001	0.001	0.002	0.000	1172.374	0.721	1171.629	0.004	0.020	12632	34	true	false	0
size-controlled	4096	1929.575	7	800062	1586.414	0.037	0.003	0.002	0.002	0.000	1583.152	0.211	1582.873	0.004	0.064	12632	58	true	false	0
size-controlled	4096	1952.736	8	800063	1586.592	0.046	0.002	0.001	0.002	0.000	1583.320	0.210	1583.043	0.003	0.063	12632	59	true	false	0
size-controlled	262144	1976.484	1	800064	1587.138	0.055	0.002	0.012	0.100	0.000	1583.748	0.404	1582.870	0.122	0.352	786782	60	true	false	0
size-controlled	4096	1999.348	2	800065	1587.289	0.179	0.002	0.001	0.002	0.000	1583.882	0.396	1583.468	0.004	0.014	12632	61	true	false	0
size-controlled	4096	2021.408	3	800066	1587.364	0.196	0.001	0.001	0.002	0.000	1583.941	0.385	1583.540	0.004	0.012	12632	62	true	false	0
size-controlled	4096	2044.629	4	800067	1587.440	0.218	0.011	0.003	0.004	0.001	1583.978	0.353	1583.609	0.004	0.013	12632	63	true	false	0
size-controlled	262144	2069.064	5	800068	1766.301	0.252	0.004	0.046	0.104	0.000	1762.671	0.531	1583.336	0.121	178.683	786782	64	true	false	0
size-controlled	4096	2092.260	6	800069	1766.492	0.423	0.002	0.003	0.003	0.000	1762.837	0.514	1762.297	0.004	0.022	12632	65	true	false	0
size-controlled	4096	2115.416	7	800070	1766.578	0.442	0.001	0.001	0.002	0.000	1762.907	0.505	1762.378	0.003	0.020	12632	66	true	false	0
size-controlled	4096	2137.855	8	800071	1766.660	0.457	0.001	0.001	0.002	0.000	1762.973	0.495	1762.456	0.004	0.019	12632	67	true	false	0
size-controlled	262144	2161.343	1	800072	1767.218	0.471	0.001	0.026	0.100	0.000	1763.393	0.713	1762.183	0.123	0.374	786782	68	true	false	0
size-controlled	4096	2182.515	2	800073	1767.297	0.610	0.002	0.002	0.003	0.000	1763.454	0.708	1762.730	0.003	0.013	12632	69	true	false	0
size-controlled	4096	2205.698	3	800074	1767.369	0.629	0.003	0.002	0.002	0.001	1763.505	0.692	1762.797	0.004	0.012	12632	70	true	false	0
size-controlled	4096	2228.934	4	800075	1767.440	0.651	0.001	0.001	0.002	0.000	1763.557	0.679	1762.863	0.004	0.011	12632	71	true	false	0
size-controlled	262144	2251.800	5	800076	1973.814	0.667	0.001	0.010	0.097	0.000	1969.811	0.900	1762.592	0.120	206.199	786782	72	true	false	0
size-controlled	4096	2274.311	6	800077	1973.936	0.792	0.001	0.001	0.002	0.000	1969.911	0.886	1969.001	0.004	0.021	12632	73	true	false	0
size-controlled	4096	2297.506	7	800078	1974.026	0.796	0.002	0.001	0.002	0.000	1969.985	0.876	1969.084	0.004	0.022	12632	74	true	false	0
size-controlled	4096	2320.707	8	800079	1974.110	0.819	0.003	0.002	0.002	0.001	1970.043	0.854	1969.165	0.004	0.021	12632	75	true	false	0
size-controlled	262144	2344.297	1	800080	1974.757	0.828	0.001	0.028	0.088	0.000	1970.561	1.041	1968.995	0.123	0.402	786782	76	true	false	0
size-controlled	4096	2367.789	2	800081	1974.877	0.944	0.002	0.001	0.003	0.000	1970.663	1.040	1969.608	0.003	0.012	12632	77	true	false	0
size-controlled	4096	2391.200	3	800082	1974.949	0.960	0.004	0.001	0.003	0.001	1970.716	1.025	1969.678	0.004	0.009	12632	78	true	false	0
size-controlled	4096	2413.396	4	800083	1975.020	0.979	0.002	0.001	0.002	0.000	1970.770	1.017	1969.740	0.004	0.009	12632	79	true	false	0
size-controlled	262144	2437.236	5	800084	2158.804	0.996	0.001	0.011	0.105	0.000	2154.425	1.205	1969.490	0.122	183.608	786782	80	true	false	0
size-controlled	4096	2459.577	6	800085	2158.926	1.125	0.001	0.001	0.002	0.000	2154.530	1.199	2153.304	0.004	0.023	12632	81	true	false	0
size-controlled	4096	2481.494	7	800086	2159.009	1.139	0.002	0.001	0.002	0.000	2154.597	1.193	2153.381	0.003	0.020	12632	82	true	false	0
size-controlled	4096	2502.244	8	800087	2159.090	1.160	0.003	0.002	0.003	0.001	2154.654	1.174	2153.457	0.004	0.019	12632	83	true	false	0
size-controlled	262144	2526.024	1	800088	2159.664	1.179	0.001	0.024	0.088	0.000	2155.102	1.364	2153.224	0.124	0.390	786782	84	true	false	0
size-controlled	4096	2549.668	2	800089	2159.745	1.305	0.002	0.001	0.003	0.000	2155.166	1.356	2153.797	0.004	0.009	12632	85	true	false	0
size-controlled	4096	2572.240	3	800090	2159.816	1.322	0.003	0.001	0.002	0.001	2155.218	1.341	2153.861	0.004	0.012	12632	86	true	false	0
size-controlled	4096	2595.412	4	800091	2159.884	1.341	0.002	0.001	0.002	0.000	2155.269	1.330	2153.926	0.004	0.009	12632	87	true	false	0
size-controlled	262144	2619.199	5	800092	2341.941	1.354	0.002	0.014	0.096	0.000	2337.205	1.532	2153.672	0.122	181.879	786782	88	true	false	0
size-controlled	4096	2642.602	6	800093	2342.096	1.480	0.002	0.001	0.002	0.000	2337.340	1.519	2335.794	0.005	0.022	12632	89	true	false	0
size-controlled	4096	2665.770	7	800094	2338.846	0.032	0.002	0.001	0.005	0.000	2335.866	0.253	2335.590	0.003	0.020	12632	86	true	false	0
size-controlled	4096	2688.967	8	800095	2338.930	0.044	0.001	0.001	0.002	0.000	2335.939	0.248	2335.669	0.003	0.019	12632	87	true	false	0
size-controlled	262144	2712.814	1	800096	2339.552	0.059	0.002	0.010	0.098	0.000	2336.439	0.446	2335.448	0.124	0.421	786782	88	true	false	0
size-controlled	4096	2735.742	2	800097	2339.671	0.183	0.001	0.001	0.002	0.000	2336.540	0.435	2336.084	0.003	0.018	12632	89	true	false	0
size-controlled	4096	2758.052	3	800098	2339.738	0.197	0.002	0.001	0.002	0.000	2336.591	0.425	2336.154	0.004	0.009	12632	90	true	false	0
size-controlled	4096	2781.216	4	800099	2339.806	0.219	0.072	0.001	0.002	0.000	2336.565	0.339	2336.214	0.003	0.009	12632	91	true	false	0
size-controlled	262144	2804.795	5	800100	2520.362	0.300	0.002	0.015	0.114	0.000	2516.980	0.554	2335.938	0.122	180.367	786782	92	true	false	0
size-controlled	4096	2827.269	6	800101	2520.637	0.444	0.001	0.001	0.002	0.000	2517.238	0.548	2516.660	0.005	0.025	12632	93	true	false	0
size-controlled	4096	2850.430	7	800102	2520.738	0.459	0.002	0.001	0.002	0.000	2517.323	0.538	2516.760	0.003	0.023	12632	94	true	false	0
size-controlled	4096	2873.585	8	800103	2520.853	0.484	0.005	0.001	0.003	0.001	2517.408	0.515	2516.866	0.003	0.023	12632	95	true	false	0
size-controlled	262144	2896.771	1	800104	2521.402	0.494	0.001	0.013	0.088	0.000	2517.842	0.743	2516.612	0.172	0.315	786782	96	true	false	0
size-controlled	4096	2919.892	2	800105	2521.496	0.609	0.002	0.001	0.003	0.000	2517.918	0.732	2517.169	0.004	0.012	12632	97	true	false	0
size-controlled	4096	2943.134	3	800106	2521.597	0.625	0.001	0.001	0.002	0.000	2518.004	0.728	2517.259	0.004	0.013	12632	98	true	false	0
size-controlled	4096	2966.568	4	800107	2521.669	0.636	0.003	0.002	0.003	0.001	2518.049	0.707	2517.326	0.004	0.012	12632	99	true	false	0
size-controlled	262144	2990.008	5	800108	2706.961	0.650	0.001	0.011	0.096	0.000	2703.225	0.928	2517.064	0.149	185.084	786782	100	true	false	0
size-controlled	4096	3013.297	6	800109	2707.114	0.768	0.001	0.001	0.002	0.000	2703.372	0.925	2702.396	0.004	0.046	12632	101	true	false	0
size-controlled	4096	3036.579	7	800110	2707.245	0.779	0.001	0.001	0.002	0.000	2703.491	0.919	2702.516	0.004	0.052	12632	102	true	false	0
size-controlled	4096	3059.911	8	800111	2707.353	0.798	0.003	0.002	0.003	0.001	2703.575	0.900	2702.630	0.004	0.042	12632	103	true	false	0
size-controlled	262144	3082.367	1	800112	2707.885	0.823	0.003	0.015	0.114	0.002	2703.956	1.072	2702.446	0.124	0.315	786782	104	true	false	0
size-controlled	4096	3105.067	2	800113	2707.969	0.960	0.001	0.001	0.002	0.000	2704.027	1.069	2702.943	0.005	0.011	12632	105	true	false	0
size-controlled	4096	3128.265	3	800114	2708.042	0.971	0.001	0.001	0.002	0.000	2704.091	1.064	2703.012	0.004	0.011	12632	106	true	false	0
size-controlled	4096	3151.199	4	800115	2708.110	0.991	0.003	0.002	0.002	0.001	2704.135	1.047	2703.074	0.003	0.010	12632	107	true	false	0
size-controlled	262144	3174.789	5	800116	2890.824	1.008	0.001	0.010	0.088	0.000	2886.740	1.267	2702.816	0.122	182.536	786782	108	true	false	0
size-controlled	4096	3197.950	6	800117	2890.972	1.111	0.001	0.001	0.002	0.000	2886.872	1.260	2885.585	0.004	0.023	12632	109	true	false	0
size-controlled	4096	3221.670	7	800118	2891.063	1.125	0.003	0.002	0.003	0.001	2886.944	1.245	2885.675	0.004	0.020	12632	110	true	false	0
size-controlled	4096	3244.845	8	800119	2891.148	1.148	0.002	0.001	0.002	0.000	2887.007	1.233	2885.751	0.004	0.019	12632	111	true	false	0
size-controlled	262144	3268.526	1	800120	2891.721	1.166	0.002	0.013	0.098	0.000	2887.455	1.424	2885.517	0.122	0.391	786782	112	true	false	0
size-controlled	4096	3291.714	2	800121	2891.799	1.290	0.002	0.002	0.002	0.000	2887.517	1.413	2886.090	0.004	0.010	12632	113	true	false	0
size-controlled	4096	3314.899	3	800122	2891.869	1.301	0.002	0.001	0.002	0.000	2887.575	1.408	2886.155	0.003	0.009	12632	114	true	false	0
size-controlled	4096	3336.815	4	800123	2891.948	1.320	0.003	0.002	0.003	0.001	2887.635	1.391	2886.233	0.003	0.009	12632	115	true	false	0
size-controlled	262144	3360.850	5	800124	3076.483	1.338	0.001	0.010	0.087	0.000	3072.059	1.595	2885.987	0.119	184.358	786782	116	true	false	0
size-controlled	4096	3384.277	6	800125	3076.612	1.447	0.001	0.001	0.002	0.000	3072.173	1.586	3070.560	0.003	0.025	12632	117	true	false	0
size-controlled	4096	3406.703	7	800126	3073.550	0.043	0.002	0.002	0.006	0.001	3070.613	0.057	3070.532	0.004	0.019	12632	114	true	false	0
size-controlled	4096	3430.040	8	800127	3073.634	0.058	0.001	0.001	0.002	0.000	3070.685	0.050	3070.611	0.004	0.019	12632	115	true	false	0
